"","X","event.id","timestamp","location.long","location.lat","gps.hdop","gps.maximum.signal.strength","gps.satellite.count","ground.speed","height.above.msl","tlag","batID","BatDay","utm.x","utm.y","batIDday"
"B212.5387",5387,6522708180,2018-04-19 19:47:05,-6.44668,37.00659,1.1,381,4,11.305555646,60,30,"B212",2,193303.061510167,4101159.74712356,"B212.2"
"B212.5388",5388,6522708181,2018-04-19 19:47:35,-6.44883,37.00901,1.2,397,4,15.444444568,40,27,"B212",2,193121.426878735,4101435.28098606,"B212.2"
"B212.5389",5389,6522708182,2018-04-19 19:48:02,-6.45224,37.01059,1.4,254,3,13.388888996,60,32,"B212",2,192824.26973046,4101621.6605413,"B212.2"
"B212.5390",5390,6522708183,2018-04-19 19:48:34,-6.45357,37.01322,1.2,356,4,11.305555646,40,29,"B212",2,192716.493018844,4101917.86235343,"B212.2"
"B212.5391",5391,6522708184,2018-04-19 19:49:03,-6.45404,37.01559,1.2,383,4,8.222222288,50,33,"B212",2,192684.21858229,4102182.42717022,"B212.2"
"B212.5392",5392,6522708185,2018-04-19 19:49:36,-6.45493,37.01914,1.2,350,4,10.27777786,50,28,"B212",2,192619.327891484,4102579.31857323,"B212.2"
"B212.5393",5393,6522708186,2018-04-19 19:50:04,-6.4558,37.02173,1.2,259,4,11.305555646,42,32,"B212",2,192552.351321059,4102869.59637285,"B212.2"
"B212.5394",5394,6522708187,2018-04-19 19:50:36,-6.45564,37.02438,1.2,387,4,11.305555646,50,29,"B212",2,192577.285101797,4103163.20098409,"B212.2"
"B212.5395",5395,6522708188,2018-04-19 19:51:05,-6.45512,37.02767,1.2,392,4,13.388888996,44,28,"B212",2,192636.837397435,4103526.67417296,"B212.2"
"B212.5396",5396,6522708189,2018-04-19 19:51:33,-6.45448,37.03044,1.2,245,4,4.111111144,40,32,"B212",2,192704.966649357,4103832.0448184,"B212.2"
"B212.5397",5397,6522708190,2018-04-19 19:52:05,-6.45431,37.03367,1.2,358,4,12.333333432,44,29,"B212",2,192733.127017602,4104189.99139293,"B212.2"
"B212.5398",5398,6522708191,2018-04-19 19:52:34,-6.45472,37.03695,1.2,232,4,11.305555646,46,30,"B212",2,192709.881776296,4104555.36398074,"B212.2"
"B212.5399",5399,6522708192,2018-04-19 19:53:04,-6.45459,37.04055,1.2,231,4,13.388888996,46,32,"B212",2,192735.978111142,4104954.50637902,"B212.2"
"B212.5400",5400,6522708193,2018-04-19 19:53:36,-6.45469,37.04373,1.2,350,4,12.333333432,44,28,"B212",2,192739.916304531,4105307.77738629,"B212.2"
"B212.5401",5401,6522708194,2018-04-19 19:54:04,-6.45482,37.04699,1.2,295,4,14.416666782,42,31,"B212",2,192741.510165916,4105670.02480644,"B212.2"
"B212.5402",5402,6522708195,2018-04-19 19:54:35,-6.45557,37.05115,1.2,383,4,15.444444568,46,30,"B212",2,192691.583855816,4106134.16987311,"B212.2"
"B212.5403",5403,6522708196,2018-04-19 19:55:05,-6.45605,37.05495,1.2,352,4,13.388888996,52,28,"B212",2,192664.230554836,4106557.48538109,"B212.2"
"B212.5404",5404,6522708197,2018-04-19 19:55:33,-6.45518,37.05786,1.2,249,4,14.416666782,32,31,"B212",2,192753.374105359,4106877.65005064,"B212.2"
